property_id,location,property_type,price,bedrooms,bathrooms,square_feet,listing_date,description
B-0001,Los Angeles,Loft,325033.83,4,1.5,1026,2024-12-19,Sample property 1 from Source B. Located in a prime area with great amenities.
B-0002,Atlanta,Apartment,1513976.19,6,2.0,1524,2024-11-18,Sample property 2 from Source B. Located in a prime area with great amenities.
B-0003,Dallas,Loft,1780442.86,6,3.0,1341,2024-02-19,Sample property 3 from Source B. Located in a prime area with great amenities.
B-0004,Los Angeles,Loft,1743714.65,2,2.5,3416,2024-03-06,Sample property 4 from Source B. Located in a prime area with great amenities.
B-0005,Atlanta,Apartment,424180.24,3,2.0,822,2022-06-18,Sample property 5 from Source B. Located in a prime area with great amenities.
B-0006,Portland,Apartment,1120734.71,4,2.0,2861,2024-06-23,Sample property 6 from Source B. Located in a prime area with great amenities.
B-0007,Miami,Apartment,1627378.84,3,4.0,3087,2025-11-06,Sample property 7 from Source B. Located in a prime area with great amenities.
B-0008,San Diego,Apartment,571700.59,1,3.5,3444,2025-11-11,Sample property 8 from Source B. Located in a prime area with great amenities.
B-0009,Atlanta,House,335705.57,3,3.0,2458,2024-08-06,Sample property 9 from Source B. Located in a prime area with great amenities.
B-0010,Atlanta,House,613087.89,2,3.5,3737,2022-05-24,Sample property 10 from Source B. Located in a prime area with great amenities.
B-0011,Atlanta,Loft,1078390.28,5,3.0,630,2023-10-11,Sample property 11 from Source B. Located in a prime area with great amenities.
B-0012,Los Angeles,House,1055283.13,3,3.5,809,2024-11-15,Sample property 12 from Source B. Located in a prime area with great amenities.
B-0013,Portland,Condo,741920.12,1,3.5,1193,2023-02-19,Sample property 13 from Source B. Located in a prime area with great amenities.
B-0014,Los Angeles,Townhouse,1123476.83,2,4.0,1252,2024-08-18,Sample property 14 from Source B. Located in a prime area with great amenities.
B-0015,Atlanta,Townhouse,1364731.19,3,1.0,1854,2025-04-08,Sample property 15 from Source B. Located in a prime area with great amenities.
B-0016,San Diego,Loft,1629564.23,2,4.0,1395,2025-08-26,Sample property 16 from Source B. Located in a prime area with great amenities.
B-0017,Miami,House,1236830.0,3,1.0,1466,2024-06-04,Sample property 17 from Source B. Located in a prime area with great amenities.
